"Project","Fix Commit","Compilable","Version","Command","Output","Pom JDK Version"
"https://github.com/letonez/libpam4j","84f32f4001fc6bdcc125ccc959081de022d18b6d","Si"," versione gradle 5.4.1 JAVA 1.8","gradle classes ",,"Non esiste il pom"
"https://github.com/letonez/libpam4j","bf826bbb48a118b8e42c45cd87abb1cf415d4239","Si"," versione gradle 5.4.1 JAVA 1.8","gradle classes ",,"Non esiste il pom"
"https://github.com/apache/tomcat","2835bb4e030c1c741ed0847bb3b9c3822e4fbc8a","Si","JDK 17","ant compile",,"Non esiste il pom"
"https://github.com/apache/tomcat","43e1c5d08f8eaf25bc5d7e706c4c52688d36b021","Si","JDK 17","ant compile",,"Non esiste il pom"
"https://github.com/apache/tomcat","50311bed8d87e452ff0e69838ba312c4fe899b2d","Si","JDK 17","ant compile",,"Non esiste il pom"
"https://github.com/apache/tomcat","fa6e9ff2dc6e72a155d8e6679400ceea5e4614e2","No","JDK 17","ant compile","","Non esiste il pom"
"https://github.com/apache/tomcat","769477b9bc8442db3f571385fa0c3e206242cbf1","Si","JDK 17","ant compile",,"Non esiste il pom"
"https://github.com/apache/tomcat","e31233a09fd25b60cd27a114e78fbb698a6090ff","Si","JDK 17","ant compile",,"Non esiste il pom"
"https://github.com/apache/tomcat","efb860b3ff8ebcf606199b8d0d432f76898040da","Si","JDK 17","ant compile",,"Non esiste il pom"
"https://github.com/apache/tomcat","94155efccd19fc3338433c63cfa5430e2d1ae00a","Si","JDK 17","ant compile",,"Non esiste il pom"
"https://github.com/apache/tomcat","913d94b289e056107e521dbab8e79cc72a62a331","Si","JDK 17","ant compile",,"Non esiste il pom"
"https://github.com/apache/tomcat","970c23bfd24dfa1dcb86ed917e6c8b47dcfb4433","Si","JDK 17","ant compile",,"Non esiste il pom"
"https://github.com/apache/tomcat","8884dae60ace77a87ed9385442ce429e98c3a479","Si","JDK 17","ant compile",,"Non esiste il pom"
"https://github.com/apache/tomcat","f646a5acd5e32d6f5a2d9bf1d94ca66b65477675","Si","JDK 17","ant compile",,"Non esiste il pom"
"https://github.com/apache/tomcat","fffd63a3bd3a5475379b7c074820a5463b7663b3","Si","JDK 17","ant compile",,"Non esiste il pom"
"https://github.com/apache/tomcat","313ba522851a32e798d94c7250e1ec80a1d30a22","Si","JDK 17","ant compile",,"Non esiste il pom"
"https://github.com/apache/tomcat","ebe5c16f18ce1559e8462a94b3876a98525980d2","Si","JDK 17","ant compile",,"Non esiste il pom"
"https://github.com/apache/tomcat","ad3b34a290a0255d2a4c356a3611ab41ed9d04f5","Si","JDK 17","ant compile",,"Non esiste il pom"
"https://github.com/apache/tomcat","ed4b9d791f9470e4c3de691dd0153a9ce431701b","Si","JDK 17","ant compile",,"Non esiste il pom"
"https://github.com/apache/tomcat","332877b4a6bc1d6fff287bc380111db28cea3030","Si","JDK 17","ant compile",,"Non esiste il pom"
"https://github.com/apache/tomcat","d83a76732e6804739b81d8b2056365307637b42d","Si","JDK 17","ant compile",,"Non esiste il pom"
"https://github.com/apache/tomcat","6513dbd4a1751fdabfba97c97a60f7086ebb3082","Si","JDK 17","ant compile",,"Non esiste il pom"
"https://github.com/apache/tomcat","4545dcce444aa619374a659cb450dbbd0be3c921","Si","JDK 1.8","ant compile",,"Non esiste il pom"
"https://github.com/apache/tomcat","d71140268e3a7b66d8dd89f12673a1da329df628","Si","JDK 1.8","ant compile",,"Non esiste il pom"
"https://github.com/apache/tomcat","ce70ee6b8fe437a498a375215011056702b0c481","Si","JDK 17","ant compile",,"Non esiste il pom"
"https://github.com/apache/tomcat","804fec853b560598d83b50686575bfedcf43d04a","Si","JDK 17","ant compile",,"Non esiste il pom"
"https://github.com/apache/tomcat","5517c5517e8a7ddb994504f0c5c05001a376b10c","Si","JDK 17","ant compile",,"Non esiste il pom"
